Chromosome	Range	SNPs	SNP_density	Missing	%_missing	Missing_density	Overall_gene_density	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_J_gene	IG_J_pseudogene	IG_V_gene	IG_V_pseudogene	IG_pseudogene	Mt_rRNA	Mt_tRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	lncRNA	miRNA	misc_RNA	polymorphic_pseudogene	processed_pseudogene	protein_coding	pseudogene	rRNA	rRNA_pseudogene	ribozyme	sRNA	scRNA	scaRNA	snRNA	snoRNA	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	unitary_pseudogene	unprocessed_pseudogene	vaultRNA
11	134746503	29326	0.000217638301158732	219	0.75%	1.62527408967341e-06	2.48318132604896e-05	0	0	0	0	0	0	0	0	0	0	5.64022058516799e-07	0	0	0	0	0	0	5.87028221429984e-06	7.56976973272546e-07	7.19870258896441e-07	5.19494001265473e-08	3.45092443697778e-06	9.71453782366434e-06	0	1.48426857504421e-08	1.63269543254863e-07	7.42134287522104e-09	1.48426857504421e-08	0	2.22640286256631e-08	5.19494001265473e-07	3.85909829511494e-07	1.33584171753979e-07	5.93707430017683e-08	3.93331172386715e-07	0	0	6.67920858769893e-08	1.92212780468225e-06	0
12	133646734	28451	0.000212882119513673	191	0.67%	1.42914079740998e-06	2.2783946220489e-05	0	0	0	0	0	0	0	0	0	0	7.40758842636589e-07	0	0	0	0	0	0	6.98109091090845e-06	5.6866335394324e-07	8.60477443466744e-07	0	3.62148767511221e-06	7.72933216609693e-06	0	0	2.02025138900888e-07	0	0	0	1.49648251037695e-08	7.40758842636589e-07	2.76849264419735e-07	2.24472376556542e-07	4.48944753113084e-08	2.09507551452773e-07	0	0	4.48944753113084e-08	5.23768878631931e-07	0
13	96003437	21678	0.000225804415731491	147	0.68%	1.53119518002257e-06	1.41453269011608e-05	0	0	0	0	0	0	0	0	0	0	2.91656224766203e-07	0	0	0	0	0	0	4.9060743523172e-06	4.16651749666004e-07	7.81222030623758e-07	0	2.93739483514533e-06	3.34363029106968e-06	0	0	1.45828112383101e-07	0	0	0	0	3.95819162182704e-07	1.77076993608052e-07	8.33303499332008e-08	1.04162937416501e-08	2.18742168574652e-07	0	0	2.08325874833002e-08	4.16651749666004e-07	0
14	88218743	18696	0.000211927753266673	131	0.7%	1.48494521169951e-06	2.54821132511489e-05	1.02019136681646e-07	2.2670919262588e-08	3.06057410044938e-07	6.8012757787764e-08	3.4006378893882e-08	5.44102062302112e-07	8.95501310872226e-07	1.1335459631294e-08	0	0	2.2670919262588e-07	2.2670919262588e-08	3.4006378893882e-08	6.8012757787764e-07	4.5341838525176e-08	5.44102062302112e-07	1.02019136681646e-07	6.64257934393828e-06	1.11087504386681e-06	8.95501310872226e-07	4.5341838525176e-08	3.51399248570114e-06	6.91463037508934e-06	1.1335459631294e-08	0	1.02019136681646e-07	2.2670919262588e-08	0	0	2.2670919262588e-08	7.02798497140228e-07	8.16153093453168e-07	3.06057410044938e-07	4.5341838525176e-08	1.81367354100704e-07	0	0	0	5.1009568340823e-07	0
15	82237259	18281	0.000222295833084612	131	0.72%	1.5929519246258e-06	2.67640243213845e-05	0	0	6.07996917796105e-08	0	0	4.86397534236884e-08	6.07996917796105e-08	0	0	0	5.71517102728339e-07	0	0	0	0	0	0	8.36603758887441e-06	8.39035746558625e-07	1.11871432874483e-06	0	3.41694267801411e-06	7.28380307519734e-06	1.21599383559221e-08	0	1.45919260271065e-07	0	0	0	3.64798150677663e-08	7.66076116423092e-07	1.38623297257512e-06	3.64798150677663e-07	3.64798150677663e-08	8.26875808202703e-07	0	0	0	1.42271278764289e-06	0
16	90058175	19199	0.000213184422180441	187	0.97%	2.07643559288205e-06	2.81928875418584e-05	0	0	0	0	0	6.66236019106539e-08	8.88314692142051e-08	0	0	0	1.45461530838261e-06	0	0	0	0	0	0	9.28288853288444e-06	8.661068248385e-07	5.66300616240558e-07	1.11039336517756e-08	2.78708734659569e-06	9.41613573670575e-06	1.11039336517756e-08	0	3.44221943205045e-07	0	0	0	1.11039336517756e-08	5.77404549892333e-07	3.66429810508596e-07	2.66494407642615e-07	6.66236019106539e-08	6.44028151802987e-07	1.11039336517756e-08	0	9.99354028659808e-08	1.25474450265065e-06	0
17	81046319	18741	0.000231238139267004	230	1.23%	2.83788335902091e-06	3.60411186595655e-05	0	0	0	0	0	0	0	0	0	0	1.11047609700818e-06	0	0	0	0	0	0	1.01423483526747e-05	1.23386233000909e-06	1.19684646010882e-06	2.46772466001818e-08	3.71392561332736e-06	1.38686125893022e-05	0	3.70158699002727e-08	1.85079349501364e-07	0	0	0	6.16931165004545e-08	1.06112160380782e-06	6.29269788304636e-07	5.18222178603818e-07	7.40317398005454e-08	8.76042254306454e-07	0	0	6.16931165004545e-08	1.24620095330918e-06	0
18	78004031	16489	0.000211386511550922	86	0.52%	1.10250712556124e-06	1.52812615542907e-05	0	1.28198502972237e-08	0	0	0	0	0	0	0	0	5.64073413077845e-07	0	0	0	0	0	0	6.32018619653131e-06	4.48694760402831e-07	5.1279401188895e-07	0	2.64088916122809e-06	3.28188167608928e-06	0	0	1.66658053863909e-07	0	1.28198502972237e-08	0	2.56397005944475e-08	5.76893263375068e-07	2.17937455052804e-07	1.92297754458356e-07	2.56397005944475e-08	7.69191017833424e-08	0	0	2.56397005944475e-08	1.79477904161132e-07	0
19	58828102	13002	0.000221016819478555	220	1.69%	3.73970929743747e-06	5.05200728726553e-05	0	0	0	0	0	0	0	0	0	0	1.20690618235482e-06	0	0	0	0	0	0	1.12021292136877e-05	2.37981500746021e-06	1.03691939610766e-06	3.39973572494316e-08	4.40265776380139e-06	2.49880575783322e-05	0	1.69986786247158e-08	2.20982822121305e-07	0	0	0	0	4.75963001492042e-07	3.73970929743747e-07	4.4196564424261e-07	8.49933931235789e-08	9.51926002984084e-07	0	1.69986786247158e-08	6.79947144988631e-08	2.61779650820623e-06	0
20	62897048	14494	0.000230440067711922	86	0.59%	1.36731377281808e-06	2.17975253782976e-05	0	0	0	0	0	0	0	0	0	0	1.43090976225148e-07	0	0	0	0	0	0	6.66167989314856e-06	5.88262902258942e-07	1.06523282300944e-06	0	3.03670849544481e-06	7.99719567124994e-06	0	7.9494986791749e-08	2.38484960375247e-07	0	0	0	1.58989973583498e-08	6.99555883767391e-07	3.97474933958745e-07	7.9494986791749e-08	6.35959894333992e-08	1.90787968300197e-07	0	0	1.58989973583498e-08	5.24666912825543e-07	0
21	37608867	8461	0.000224973541478928	51	0.6%	1.35606318584391e-06	1.96230319833884e-05	0	0	0	0	0	2.65894742322336e-08	0	0	0	0	2.39305268090102e-07	0	0	0	0	0	0	7.76412647581221e-06	5.31789484644672e-07	3.45663165019037e-07	0	3.13755795940356e-06	5.76991590839469e-06	2.65894742322336e-08	0	1.32947371161168e-07	0	0	0	0	5.31789484644672e-07	3.45663165019037e-07	5.31789484644672e-08	0	1.06357896928934e-07	0	0	0	6.11557907341372e-07	0
22	35156270	9098	0.000258787408334274	97	1.07%	2.75910954148435e-06	3.820086715684e-05	1.13777713050901e-07	1.42222141313626e-07	0	1.99110997839077e-07	0	1.05244384572083e-06	1.22311041529719e-06	0	0	0	2.84444282627253e-07	0	0	0	0	0	0	1.08088827398356e-05	1.30844370008536e-06	1.76355455228897e-06	8.53332847881758e-08	4.12444209809516e-06	1.25724372921246e-05	0	0	1.42222141313626e-07	0	0	0	8.53332847881758e-08	6.54221850042681e-07	3.12888710889978e-07	1.99110997839077e-07	8.53332847881758e-08	1.10933270224628e-06	0	0	1.42222141313626e-07	1.79199898055169e-06	0
MT	16544	5075	0.306757736943907	215	4.24%	0.0129956479690522	0.00223646034816248	0	0	0	0	0	0	0	0	0.000120889748549323	0.00132978723404255	0	0	0	0	0	0	0	0	0	0	0	0	0.0007857833655706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X	155054474	19478	0.000125620367458729	311	1.6%	2.00574670292971e-06	1.54397350701406e-05	0	0	0	0	0	0	0	0	0	0	1.03189540986737e-07	0	0	0	0	0	0	1.97994931768302e-06	7.48124172153846e-07	6.44934631167108e-07	6.44934631167108e-09	4.54033980341644e-06	5.41100155549204e-06	1.28986926233422e-08	1.93480389350133e-08	1.28986926233422e-07	0	0	0	6.44934631167108e-09	5.41745090180371e-07	2.9666993033687e-07	8.38415020517241e-08	1.93480389350133e-08	1.28986926233422e-07	0	0	3.22467315583554e-08	7.35225479530504e-07	0
Y	56383115	2302	4.08278258482172e-05	1000	43.44%	1.77358061894949e-05	9.25809083091631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15282740231717e-06	0	1.24150643326464e-07	0	2.34112641701332e-06	8.51318697095753e-07	0	0	1.24150643326464e-07	0	0	0	0	3.01508705221412e-07	5.32074185684846e-08	8.86790309474743e-08	0	5.8528160425333e-07	0	0	0	3.63584026884644e-06	0
